epoch,accuracy,loss,val_accuracy,val_loss
0,0.7565000057220459,0.5936939716339111,0.8862500190734863,0.273090124130249
1,0.859499990940094,0.34745219349861145,0.8600000143051147,0.3926765024662018
2,0.887499988079071,0.28363561630249023,0.8824999928474426,0.27707377076148987
3,0.9079999923706055,0.24529756605625153,0.8812500238418579,0.3266910910606384
4,0.9079999923706055,0.2233451008796692,0.9049999713897705,0.24236120283603668
5,0.9325000047683716,0.19176647067070007,0.9049999713897705,0.2602190375328064
6,0.934499979019165,0.16536611318588257,0.8899999856948853,0.32663893699645996
7,0.9449999928474426,0.15520744025707245,0.8974999785423279,0.32449886202812195
8,0.9490000009536743,0.12764009833335876,0.893750011920929,0.3835070729255676
9,0.953000009059906,0.12027037143707275,0.9037500023841858,0.33009403944015503
